x_absolute,tithi_d,t_engine_civil,t_ref_tt,diff_raw_h,diff_final_h
-10080,30,2415050.6875884016,2415050.557174284,3.1299388222396374,3.1299388222396374
-10050,30,2415080.218175389,2415079.975525361,5.823600668460131,5.823600668460131
-10020,30,2415109.748762376,2415109.3543604063,9.465647276490927,9.465647276490927
-9990,30,2415139.2793493634,2415138.72492717,13.306132636964321,13.306132636964321
-9960,30,2415168.8099363507,2415168.118705786,16.589533556252718,16.589533556252718
-9930,30,2415198.340523338,2415197.561329151,18.70066048577428,18.70066048577428
-9900,30,2415227.871110325,2415227.0718917246,19.181246414780617,19.181246414780617
-9870,30,2415257.4016973125,2415256.6624607136,17.74167837202549,17.74167837202549
-9840,30,2415286.9322842997,2415286.33243726,14.396328952163458,14.396328952163458
-9810,30,2415316.462871287,2415316.061279971,9.6381915807724,9.6381915807724
-9780,30,2415345.9934582743,2415345.8037941535,4.551938898861408,4.551938898861408
-9750,30,2415375.5240452616,2415375.5006813337,0.5607342682778835,0.5607342682778835
-9720,30,2415405.054632249,2415405.1078845155,-1.2780544012784958,-1.2780544012784958
-9690,30,2415434.585219236,2415434.614648161,-0.706294197589159,-0.706294197589159
-9660,30,2415464.1158062234,2415464.036782828,1.8965614847838879,1.8965614847838879
-9630,30,2415493.6463932106,2415493.4009406664,5.890861060470343,5.890861060470343
-9600,30,2415523.176980198,2415522.734540734,10.61854713410139,10.61854713410139
-9570,30,2415552.707567185,2415552.0651955903,15.416918277740479,15.416918277740479
-9540,30,2415582.2381541724,2415581.425119033,19.51284334436059,19.51284334436059
-9510,30,2415611.7687411597,2415610.8532183035,21.97254854813218,21.97254854813218
-9480,30,2415641.299328147,2415640.3884687102,21.860626481473446,21.860626481473446
-9450,30,2415670.8299151342,2415670.0503807683,18.708824783563614,18.708824783563614
-9420,30,2415700.3605021215,2415699.8161453316,13.06456295773387,13.06456295773387
-9390,30,2415729.891089109,2415729.620639531,6.490789867937565,6.490789867937565
-9360,30,2415759.421676096,2415759.3858453557,0.8599377684295177,0.8599377684295177
-9330,30,2415788.9522630833,2415789.057309069,-2.521103661507368,-2.521103661507368
-9300,30,2415818.4828500706,2415818.618479233,-3.255099892616272,-3.255099892616272
-9270,30,2415848.013437058,2415848.0765699567,-1.5151895731687546,-1.5151895731687546
-9240,30,2415877.544024045,2415877.448089514,2.302428748458624,2.302428748458624
-9210,30,2415907.0746110324,2415906.7577034356,7.605782322585583,7.605782322585583
-9180,30,2415936.6051980196,2415936.041311464,13.533277340233326,13.533277340233326
-9150,30,2415966.135785007,2415965.3456252497,18.963834173977375,18.963834173977375
-9120,30,2415995.666371994,2415994.7221344113,22.66170198842883,22.66170198842883
-9090,30,2416025.1969589815,2416024.2147411215,23.573228638619184,23.573228638619184
-9060,30,2416054.7275459687,2416053.8427584474,21.234900511801243,21.234900511801243
-9030,30,2416084.258132956,2416083.5869093738,16.109365973621607,16.109365973621607
-9000,30,2416113.7887199433,2416113.392940157,9.498714867979288,9.498714867979288
-8970,30,2416143.3193069305,2416143.194476554,2.995929032564163,2.995929032564163
-8940,30,2416172.849893918,2416172.9314441876,-1.9572064764797688,-1.9572064764797688
-8910,30,2416202.380480905,2416202.560419763,-4.318532589823008,-4.318532589823008
-8880,30,2416231.9110678923,2416232.06357747,-3.6602298617362976,-3.6602298617362976
-8850,30,2416261.4416548796,2416261.451135832,-0.22754285484552383,-0.22754285484552383
-8820,30,2416290.972241867,2416290.757636419,5.150530748069286,5.150530748069286
-8790,30,2416320.502828854,2416320.0323234284,11.292130216956139,11.292130216956139
-8760,30,2416350.0334158414,2416349.3274263,16.943748995661736,16.943748995661736
-8730,30,2416379.5640028287,2416378.6884302585,21.013741683214903,21.013741683214903
-8700,30,2416409.094589816,2416408.146520062,22.75367409735918,22.75367409735918
-8670,30,2416438.625176803,2416437.7154454966,21.833551358431578,21.833551358431578
-8640,30,2416468.1557637905,2416467.3931382564,18.30301281809807,18.30301281809807
-8610,30,2416497.6863507777,2416497.158165639,12.676443334668875,12.676443334668875
-8580,30,2416527.216937765,2416526.9622400706,6.11274466663599,6.11274466663599
-8550,30,2416556.7475247523,2416556.736053806,0.2753027155995369,0.2753027155995369
-8520,30,2416586.2781117395,2416586.412292866,-3.220347035676241,-3.220347035676241
-8490,30,2416615.808698727,2416615.9570200844,-3.5597125813364983,-3.5597125813364983
-8460,30,2416645.339285714,2416645.3818688397,-1.0219950154423714,-1.0219950154423714
-8430,30,2416674.8698727014,2416674.7273839707,3.4197295345366,3.4197295345366
-8400,30,2416704.4004596886,2416704.0410493906,8.625847153365612,8.625847153365612
-8370,30,2416733.931046676,2416733.3639071104,13.611349571496248,13.611349571496248
-8340,30,2416763.461633663,2416762.7262981487,17.648052345961332,17.648052345961332
-8310,30,2416792.9922206504,2416792.1509330696,20.190901938825846,20.190901938825846
-8280,30,2416822.5228076377,2416821.657860764,20.758724972605705,20.758724972605705
-8250,30,2416852.053394625,2416851.2627659123,18.975089102983475,18.975089102983475
-8220,30,2416881.583981612,2416880.9634037297,14.893869180232286,14.893869180232286
-8190,30,2416911.1145685995,2416910.722660647,9.405790865421295,9.405790865421295
-8160,30,2416940.645155587,2416940.4749787077,4.0842450968921185,4.0842450968921185
-8130,30,2416970.175742574,2416970.160043301,0.376782551407814,0.376782551407814
-8100,30,2416999.7063295613,2416999.7482362036,-1.0057594142854214,-1.0057594142854214
-8070,30,2417029.2369165486,2417029.2431806913,-0.15033942461013794,-0.15033942461013794
-8040,30,2417058.767503536,2417058.6684352136,2.3776397332549095,2.3776397332549095
-8010,30,2417088.298090523,2417088.051330182,5.922248192131519,5.922248192131519
-7980,30,2417117.828677511,2417117.416989195,9.880519576370716,9.880519576370716
-7950,30,2417147.3592644976,2417146.7907278854,13.644878692924976,13.644878692924976
-7920,30,2417176.8898514854,2417176.1998236394,16.56066830456257,16.56066830456257
