Y,n,d,t_tib_raw,t_de_tt,diff_hours,k
1409,-7150,30,2235770.7478957367,2235770.4027331425,8.283902261406183,117
1409,-7149,30,2235800.448547085,2235800.07975183,8.851086113601923,118
1409,-7148,30,2235830.062429894,2235829.647582713,9.956332348287106,119
1409,-7147,30,2235859.5678234044,2235859.1031278223,11.152693971991539,120
1409,-7146,30,2235888.951924567,2235888.4753406853,11.438013162463903,121
1409,-7145,30,2235918.278018148,2235917.8101067585,11.229873351752758,122
1409,-7144,30,2235947.5892870435,2235947.152869515,10.474020682275295,123
1409,-7143,30,2235976.9438395207,2235976.5361536657,9.78446051850915,124
1409,-7142,30,2236006.3333659377,2236005.9761870513,8.572293274104595,125
1409,-7141,30,2236035.8179646125,2236035.479612602,8.120448254048824,126
1409,-7140,30,2236065.397286102,2236065.052395221,8.277381151914597,127
1410,-7139,30,2236095.0731250043,2236094.6975154155,9.014630131423473,128
1410,-7138,30,2236124.783572609,2236124.3999939947,9.205886743962765,129
1410,-7137,30,2236154.496164256,2236154.1179613867,9.07686885818839,130
1410,-7136,30,2236184.1771638626,2236183.7976375036,9.108632616698742,131
1410,-7135,30,2236213.8090795237,2236213.401637384,9.778611347079277,132
1410,-7134,30,2236243.3574348125,2236242.923872813,10.405487984418869,133
1410,-7133,30,2236272.8365095197,2236272.3829508433,10.885408233851194,134
1410,-7132,30,2236302.2463608994,2236301.8061083923,10.566060170531273,135
1410,-7131,30,2236331.634787656,2236331.216484775,10.039269145578146,136
1410,-7130,30,2236361.0097381435,2236360.62952729,9.125060487538576,137
1410,-7129,30,2236390.42946475,2236390.057469501,8.927885971963406,138
1410,-7128,30,2236419.885519636,2236419.5150341094,8.891652636229992,139
1411,-7127,30,2236449.400687686,2236449.0185987796,9.170133758336306,140
1411,-7126,30,2236478.961684134,2236478.577256361,9.226266548037529,141
1411,-7125,30,2236508.5780426604,2236508.183955654,9.458088152110577,142
1411,-7124,30,2236538.2255273024,2236537.8175734044,9.79089355096221,143
1411,-7123,30,2236567.875929894,2236567.4547596155,10.108086682856083,144
1411,-7122,30,2236597.4892678093,2236597.078853997,9.849931497126818,145
1411,-7121,30,2236627.08699331,2236626.67926183,9.785555519163609,146
1411,-7120,30,2236656.64905783,2236656.2467668224,9.654984187334776,147
1411,-7119,30,2236686.180288425,2236685.773285407,9.768072433769703,148
1411,-7118,30,2236715.653351524,2236715.257722621,9.495093673467636,149
1411,-7117,30,2236745.0980248256,2236744.710692357,9.295979250222445,150
1411,-7116,30,2236774.539890736,2236774.150779628,9.338666584342718,151
1412,-7115,30,2236804.000164606,2236803.594699002,9.731174502521753,152
1412,-7114,30,2236833.452598707,2236833.050709262,9.64534667506814,153
1412,-7113,30,2236862.922714242,2236862.521321805,9.63341847807169,154
1412,-7112,30,2236892.4223508225,2236892.011970595,9.84912545979023,155
1412,-7111,30,2236921.982462804,2236921.5358084864,10.719703618437052,156
1412,-7110,30,2236951.5667357263,2236951.1080901753,11.00749322399497,157
1412,-7109,30,2236981.1676358306,2236980.7330106758,10.431003715842962,158
1412,-7108,30,2237010.774506084,2237010.393083496,9.154142115265131,159
1412,-7107,30,2237040.4101807284,2237040.052417514,8.586317148059607,160
1412,-7106,30,2237070.035456968,2237069.675586374,8.636894255876541,161
1412,-7105,30,2237099.6210822556,2237099.246539453,8.989027261734009,162
1412,-7104,30,2237129.157357074,2237128.769595946,9.306267064064741,163
1412,-7103,30,2237158.656784383,2237158.254288063,9.659911684691906,164
1413,-7102,30,2237188.1170582534,2237187.70292199,9.939270325005054,165
1413,-7101,30,2237217.5449938155,2237217.1146138413,10.329119380563498,166
1413,-7100,30,2237246.9318668325,2237246.499432535,10.378423143178225,167
1413,-7099,30,2237276.3432482607,2237275.8857973046,10.978822946548462,168
1413,-7098,30,2237305.782022486,2237305.313735473,11.238888312131166,169
1413,-7097,30,2237335.2824053355,2237334.8187663415,11.127335853874683,170
1413,-7096,30,2237364.8460038523,2237364.4150507697,10.342873983085155,171
1413,-7095,30,2237394.473272116,2237394.087375794,9.261511724442244,172
1413,-7094,30,2237424.14457023,2237423.7988518984,8.29723995923996,173
1413,-7093,30,2237453.843815908,2237453.5088589136,8.038967862725258,174
1413,-7092,30,2237483.5288212793,2237483.185147859,8.24816208332777,175
1413,-7091,30,2237513.1753089223,2237512.803033324,8.934614360332489,176
1414,-7090,30,2237542.738228295,2237542.342417685,9.499454643577337,177
1414,-7089,30,2237572.213553891,2237571.7936757095,10.077076356858015,178
1414,-7088,30,2237601.612384975,2237601.166926306,10.691008049994707,179
1414,-7087,30,2237630.9734051144,2237630.4930836093,11.527716122567654,180
1414,-7086,30,2237660.3021797347,2237659.815529232,11.679612066596746,181
1414,-7085,30,2237689.6503494433,2237689.1786108855,11.321725387126207,182
1414,-7084,30,2237719.057863304,2237718.6178905084,10.559347093105316,183
1414,-7083,30,2237748.572397618,2237748.154418417,10.031500831246376,184
1414,-7082,30,2237778.192187401,2237777.7929014415,9.58286302909255,185
1414,-7081,30,2237807.8863710873,2237807.5202709287,8.786403805017471,186
1414,-7080,30,2237837.61761945,2237837.30125333,7.5927868857979774,187
1414,-7079,30,2237867.381928699,2237867.076918569,7.320243123918772,188
1415,-7077,30,2237926.7514261357,2237926.365384098,9.26500890031457,190
1415,-7076,30,2237956.2671094667,2237955.827655355,10.546898681670427,191
1415,-7075,30,2237985.671815936,2237985.194280776,11.460843835026026,192
1415,-7074,30,2238015.0106967716,2238014.506097449,12.110383741557598,193
1415,-7073,30,2238044.304801488,2238043.803694131,12.026576567441225,194
1415,-7072,30,2238073.580701592,2238073.1233432055,10.976601272821426,195
1415,-7071,30,2238102.9191421685,2238102.4992347592,10.077777821570635,196
1415,-7070,30,2238132.3667886993,2238131.965910543,9.621075745671988,197
1415,-7069,30,2238161.95194214,2238161.5534954513,9.562720522284508,198
1415,-7068,30,2238191.636132144,2238191.2707124334,8.770073052495718,199
1415,-7067,30,2238221.3979775216,2238221.0826693787,7.567395430058241,200
1415,-7066,30,2238251.1914149392,2238250.909391859,6.768553923815489,201
1416,-7065,30,2238280.9757628837,2238280.6631558915,7.502567812800407,202
1416,-7064,30,2238310.6702762707,2238310.2935697576,9.040956314653158,203
1416,-7063,30,2238340.241473698,2238339.7972911783,10.660380475223064,204
1416,-7062,30,2238369.6892742207,2238369.1982972003,11.783448491245508,205
1416,-7061,30,2238399.025600369,2238398.528442623,11.93178590387106,206
1416,-7060,30,2238428.2993070753,2238427.8207967156,11.484248634427786,207
1416,-7059,30,2238457.5655510947,2238457.111780373,10.8904973231256,208
1416,-7058,30,2238486.866188623,2238486.444086913,10.130441039800644,209
1416,-7057,30,2238516.2710194704,2238515.8640939035,9.766213607043028,210
1416,-7056,30,2238545.791385736,2238545.409847261,9.156923398375511,211
1416,-7055,30,2238575.4419344226,2238575.090665559,8.430452730506659,212
1416,-7054,30,2238605.1972410656,2238604.8716364587,7.814510565251112,213
1417,-7053,30,2238634.9921710207,2238634.683250386,7.414095237851143,214
1417,-7052,30,2238664.7701855525,2238664.4536217744,7.597530674189329,215
1417,-7051,30,2238694.4964627395,2238694.1337749017,8.704508107155561,216
1417,-7050,30,2238724.1203570003,2238723.7017287705,10.047077514231205,217
1417,-7049,30,2238753.626048623,2238753.15756633,11.243575036525726,218
1417,-7048,30,2238783.003230019,2238782.5202032384,11.592642735689878,219
1417,-7047,30,2238812.2938126633,2238811.824872249,11.254569947719574,220
1417,-7046,30,2238841.5710019562,2238841.117912856,10.874138407409191,221
1417,-7045,30,2238870.8845096575,2238870.448431942,10.465865168720484,222
1417,-7044,30,2238900.2539144605,2238899.857882906,9.504757303744555,223
1417,-7043,30,2238929.7223992604,2238929.369775511,8.462969988584518,224
1417,-7042,30,2238959.315236504,2238958.9844501237,7.938873130828142,225
1417,-7041,30,2238989.0204839194,2238988.68255215,8.110362466424704,226
1418,-7040,30,2239018.7879519775,2239018.431653283,8.551168665289879,227
1418,-7039,30,2239048.5445734747,2239048.188215829,8.552583497017622,228
1418,-7038,30,2239078.255672584,2239077.900399295,8.526558928191662,229
1418,-7037,30,2239107.9201476704,2239107.5222499035,9.549546405673027,230
1418,-7036,30,2239137.4734228044,2239137.0333470195,10.561818838119507,231
1418,-7035,30,2239166.9136086227,2239166.446910845,11.200746662914753,232
1418,-7034,30,2239196.26768333,2239195.8011895516,11.195850681513548,233
1418,-7033,30,2239225.585905554,2239225.142660666,10.637877311557531,234
1418,-7032,30,2239254.93001027,2239254.510307905,10.07285676151514,235
1418,-7031,30,2239284.3064532946,2239283.9268269166,9.111033070832491,236
1418,-7030,30,2239313.7436303473,2239313.4006044655,8.232621163129807,237
1418,-7029,30,2239343.2797491993,2239342.935748314,8.256021246314049,238
1419,-7028,30,2239372.903515133,2239372.537561127,8.782896146178246,239
1419,-7027,30,2239402.5870931176,2239402.203436318,9.207763195037842,240
1419,-7026,30,2239432.2943345313,2239431.908093126,9.269793726503849,241
1419,-7025,30,2239461.9850356304,2239461.604555152,9.131531484425068,242
1419,-7024,30,2239491.633199416,2239491.24660629,9.278235029429197,243
1419,-7023,30,2239521.228907228,2239520.811984656,10.006141729652882,244
1419,-7022,30,2239550.7471353747,2239550.3069249657,10.565049815922976,245
1419,-7021,30,2239580.2011686224,2239579.7543721404,10.72311556711793,246
1419,-7020,30,2239609.611489875,2239609.17893244,10.381378434598446,247
1419,-7019,30,2239638.992923818,2239638.5981880752,9.473657827824354,248
1419,-7018,30,2239668.396978783,2239668.023402104,8.96584029123187,249
1419,-7017,30,2239697.8403372304,2239697.4658449185,8.987815484404564,250
1420,-7016,30,2239727.318071418,2239726.9405566584,9.060354229062796,251
1420,-7015,30,2239756.849568537,2239756.4618267827,9.30580210313201,252
1420,-7014,30,2239786.428027277,2239786.033395474,9.471163272857666,253
1420,-7013,30,2239816.048525817,2239815.6438332265,9.712622176855803,254
1420,-7012,30,2239845.698727035,2239845.273030856,10.216708291321993,255
1420,-7011,30,2239875.3225127114,2239874.9025482684,10.07914663106203,256
1420,-7010,30,2239904.9234128157,2239904.519412346,9.696011267602444,257
1420,-7009,30,2239934.5124634374,2239934.1128902035,9.589757613837719,258
1420,-7008,30,2239964.068895406,2239963.67185784,9.52890158817172,259
1420,-7007,30,2239993.584156246,2239993.1884619277,9.496663637459278,260
1420,-7006,30,2240023.0505917687,2240022.6649527242,9.255337066948414,261
1420,-7005,30,2240052.4969570073,2240052.114902177,9.169315930455923,262
1420,-7004,30,2240081.9572308776,2240081.5557553307,9.635413125157356,263
1421,-7003,30,2240111.416012211,2240110.9999195877,9.986222952604294,264
1421,-7002,30,2240140.864365525,2240140.453061171,9.871304500848055,265
1421,-7001,30,2240170.3321534125,2240169.9205615665,9.878204304724932,266
1421,-7000,30,2240199.8544761655,2240199.414562937,10.55791748687625,267
1421,-6999,30,2240229.4115142305,2240228.9529988356,11.004369478672743,268
1421,-6998,30,2240259.000880733,2240258.5490629836,10.843625988811255,269
1421,-6997,30,2240288.6017808374,2240288.197698065,9.697986535727978,270
1421,-6996,30,2240318.230541638,2240317.870369509,8.644131101667881,271
1421,-6995,30,2240347.881062685,2240347.526678962,8.505209349095821,272
1421,-6994,30,2240377.498467567,2240377.1363742505,8.69023959338665,273
1421,-6993,30,2240407.0723519563,2240406.6916311067,9.13730039075017,274
1421,-6992,30,2240436.600755417,2240436.1991998656,9.63733322918415,275
1422,-6991,30,2240466.0741245253,2240465.664720762,9.825690317898989,276
1422,-6990,30,2240495.512507848,2240495.0883038337,10.18089634180069,277
1422,-6989,30,2240524.9091001265,2240524.474986532,10.418726272881031,278
1422,-6988,30,2240554.293495453,2240553.846188617,10.735364064574242,279
